epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9006,1.63861,7.89172,0.7535,2.83556,1.70912,0.50208,0.64286,0.59801,0.22365,0,0,0,0,2.4385,9.18201,0.70371,1.80273,2.14188,0.00026,0.00026,0.00026
2,28.8972,1.50662,6.72805,0.79219,1.52805,1.76055,0.98427,0.78571,0.796,0.43841,0,0,0,0,1.80878,8.67076,0.71249,1.58791,1.84496,0.000534654,0.000534654,0.000534654
3,44.9137,1.27582,5.48014,0.7868,1.13588,1.44175,0.91518,0.78571,0.78597,0.48856,0,0,0,0,1.81133,7.38758,0.76267,1.56181,1.93622,0.000803764,0.000803764,0.000803764
4,60.8949,1.45479,4.82005,0.77148,1.38529,1.56655,0.88915,0.78571,0.76666,0.44606,0.32313,0.28571,0.0955,0.03455,1.83523,6.95419,0.766,1.27894,1.88662,0.00106733,0.00106733,0.00106733
5,76.563,1.20817,4.88544,0.78131,1.11874,1.507,0.96722,0.64286,0.76348,0.37628,0.79327,0.5,0.47816,0.19339,2.00296,6.16116,0.78534,2.34421,2.13381,0.00132535,0.00132535,0.00132535
6,92.8049,1.3193,4.90724,0.72199,0.99565,1.5408,0.95492,0.64286,0.65127,0.30431,0.82736,0.42857,0.40587,0.1111,2.78797,5.95995,0.77913,2.36839,2.8171,0.00157783,0.00157783,0.00157783
7,108.609,1.14797,5.00305,0.71503,1.02056,1.36633,0.74608,0.64286,0.63227,0.3404,0.67537,0.5,0.47068,0.06005,2.55614,6.09499,0.72201,2.75404,2.51267,0.00182476,0.00182476,0.00182476
8,125.127,1.24808,4.77627,0.71287,1.12769,1.4158,0.91495,0.76949,0.78135,0.40609,0.7975,0.35714,0.31131,0.05168,2.194,5.7755,0.78457,1.23266,2.28446,0.0018614,0.0018614,0.0018614
9,140.888,1.46408,5.17835,0.73743,1.39521,1.5911,0.58958,0.64286,0.63051,0.34702,0.36105,0.28571,0.31226,0.03385,2.21196,6.62192,0.77458,2.12063,2.38324,0.0018416,0.0018416,0.0018416
10,154.591,1.52716,4.61758,0.73401,1.37584,1.60448,0.64003,0.64286,0.68018,0.51669,0.28384,0.28571,0.14396,0.08638,1.82292,6.47723,0.79169,2.85589,1.96986,0.0018218,0.0018218,0.0018218
11,168.359,1.40696,4.31923,0.6879,1.3434,1.58383,0.68648,0.64286,0.70012,0.49322,0.61096,0.57143,0.56722,0.18311,1.79175,5.36602,0.68713,2.63569,1.87674,0.001802,0.001802,0.001802
12,182.058,1.37077,4.7925,0.63761,1.3199,1.51805,0.98028,0.78571,0.79793,0.47287,0.75691,0.5,0.46725,0.08067,1.84402,5.67303,0.66546,1.86488,1.74362,0.0017822,0.0017822,0.0017822
13,195.719,1.17733,3.85598,0.60669,0.99561,1.43744,0.98709,0.78571,0.78585,0.37415,0.36936,0.57143,0.30079,0.11836,1.85059,5.57585,0.59135,1.97208,1.7923,0.0017624,0.0017624,0.0017624
14,209.296,1.15873,3.82714,0.57064,1.01667,1.37738,0.98709,0.78571,0.78585,0.37415,0.36936,0.57143,0.30079,0.11836,1.85059,5.57585,0.59135,1.97208,1.7923,0.0017426,0.0017426,0.0017426
15,223.118,1.12371,3.80643,0.56787,0.93159,1.39217,0.98302,0.78571,0.78593,0.52743,0.75626,0.57143,0.56866,0.30259,1.55232,5.09879,0.56316,1.47239,1.56821,0.0017228,0.0017228,0.0017228
16,236.766,1.10052,3.4875,0.5479,0.8434,1.38033,0.89731,0.78571,0.78125,0.47337,0.84532,0.5,0.49813,0.13006,2.05117,5.57967,0.57325,1.19063,1.89655,0.001703,0.001703,0.001703
17,250.375,1.18521,3.97703,0.55024,1.04991,1.36182,0.91051,0.78571,0.80686,0.438,0.90861,0.57143,0.57733,0.23087,2.07462,5.2582,0.55699,1.14407,1.90105,0.0016832,0.0016832,0.0016832
18,263.951,1.09927,3.32572,0.52501,0.84777,1.27634,0.90724,0.78571,0.82408,0.45932,0.97557,0.64286,0.6472,0.30119,1.70128,4.8695,0.5121,1.21499,1.60354,0.0016634,0.0016634,0.0016634
19,277.642,1.20042,3.53345,0.50081,0.84577,1.38944,0.90668,0.78571,0.80255,0.46529,0.88015,0.64286,0.64037,0.31928,1.69375,4.9227,0.46746,1.26145,1.58133,0.0016436,0.0016436,0.0016436
20,291.216,1.16053,3.84735,0.48334,0.8816,1.38036,0.98635,0.78571,0.79387,0.59238,0.88216,0.64286,0.61028,0.40119,1.56259,4.54199,0.44741,1.7603,1.4841,0.0016238,0.0016238,0.0016238
21,304.908,1.17773,3.20408,0.45158,0.8666,1.41584,0.97935,0.78571,0.81024,0.61348,0.89828,0.63177,0.63895,0.43013,1.2185,4.22063,0.42579,1.81891,1.28029,0.001604,0.001604,0.001604
22,319.102,1.12479,3.43416,0.43586,0.88467,1.36034,0.97935,0.78571,0.81024,0.61348,0.89828,0.63177,0.63895,0.43013,1.2185,4.22063,0.42579,1.81891,1.28029,0.0015842,0.0015842,0.0015842
23,335.474,1.05516,2.97065,0.4183,0.85723,1.27485,0.99505,0.78571,0.8325,0.48589,0.9347,0.57143,0.6215,0.37613,1.52545,4.33986,0.40017,1.24537,1.46638,0.0015644,0.0015644,0.0015644
24,351.756,1.13828,2.97486,0.42749,0.88875,1.35564,0.90405,0.78571,0.83712,0.4757,0.9534,0.57143,0.60633,0.36399,1.60698,4.2637,0.40155,1.17106,1.60033,0.0015446,0.0015446,0.0015446
25,365.29,1.38656,3.48726,0.45087,0.98903,1.36662,0.85358,0.83399,0.84356,0.47541,0.97337,0.64286,0.64657,0.33789,1.55159,4.31366,0.38656,1.21302,1.53189,0.0015248,0.0015248,0.0015248
26,378.884,1.0898,2.50563,0.40821,0.80162,1.35624,0.89343,0.85714,0.85255,0.49136,0.83787,0.64286,0.61835,0.42175,1.60417,4.14519,0.3876,1.21663,1.53253,0.001505,0.001505,0.001505
27,392.364,1.11836,3.02815,0.40275,0.82493,1.35367,0.98013,0.78571,0.78847,0.51641,0.80839,0.64286,0.64964,0.44726,1.54506,3.93256,0.37862,0.89876,1.51864,0.0014852,0.0014852,0.0014852
28,405.895,1.08573,3.12748,0.41767,0.90796,1.35425,0.98044,0.78571,0.80083,0.49259,0.80218,0.64286,0.58718,0.46024,1.60602,3.83649,0.36862,1.13433,1.59846,0.0014654,0.0014654,0.0014654
29,419.504,1.02232,2.81813,0.38037,0.80392,1.24315,0.91301,0.78571,0.79503,0.47731,0.74834,0.64286,0.6016,0.4443,1.78131,3.96215,0.36116,1.81151,1.70715,0.0014456,0.0014456,0.0014456
30,433.17,1.29133,3.25988,0.37683,1.08507,1.33336,0.91301,0.78571,0.79503,0.47731,0.74834,0.64286,0.6016,0.4443,1.78131,3.96215,0.36116,1.81151,1.70715,0.0014258,0.0014258,0.0014258
31,446.74,0.97835,2.69565,0.32525,0.68815,1.29252,0.97793,0.78571,0.78954,0.50606,0.80012,0.64286,0.64258,0.44831,1.61659,3.91976,0.34994,1.01964,1.62433,0.001406,0.001406,0.001406
32,460.227,0.90433,2.29731,0.31155,0.65933,1.13954,0.99044,0.78571,0.82394,0.54335,0.98284,0.64286,0.66109,0.52936,1.5876,3.52315,0.34323,0.82459,1.59475,0.0013862,0.0013862,0.0013862
33,473.746,0.99749,2.63317,0.31122,0.68129,1.26511,0.99165,0.78571,0.83952,0.54621,0.97803,0.64286,0.64819,0.51659,1.46861,3.642,0.33893,0.77935,1.48574,0.0013664,0.0013664,0.0013664
34,487.517,1.06398,2.72702,0.33405,0.74782,1.28268,0.98638,0.78571,0.82864,0.52466,0.96648,0.64286,0.64796,0.43761,1.50889,3.71455,0.32083,0.82218,1.52143,0.0013466,0.0013466,0.0013466
35,500.995,1.03329,2.76406,0.31518,0.67912,1.27633,0.98037,0.78571,0.81083,0.47139,0.95346,0.64286,0.6848,0.4947,1.73764,3.46623,0.30801,0.94073,1.74205,0.0013268,0.0013268,0.0013268
36,516.76,1.00739,2.62221,0.3068,0.67369,1.35732,0.98237,0.78571,0.80182,0.42524,0.94262,0.64286,0.67715,0.51678,1.92935,3.31302,0.3066,1.02726,1.92025,0.001307,0.001307,0.001307
37,531.388,0.8599,2.98345,0.33264,0.69091,1.13368,0.98965,0.78571,0.82176,0.47574,0.95923,0.64286,0.67809,0.55497,1.76582,3.32266,0.3088,0.8669,1.68218,0.0012872,0.0012872,0.0012872
38,546.512,0.97251,2.69078,0.30451,0.7204,1.17628,0.98965,0.78571,0.82176,0.47574,0.95923,0.64286,0.67809,0.55497,1.76582,3.32266,0.3088,0.8669,1.68218,0.0012674,0.0012674,0.0012674
39,562.661,0.91421,2.50176,0.28005,0.64959,1.23101,0.98921,0.78571,0.80638,0.50519,0.94623,0.64286,0.66524,0.46377,1.54471,3.37099,0.29509,0.87766,1.4844,0.0012476,0.0012476,0.0012476
40,577.271,0.89091,3.30822,0.27218,0.65169,1.18573,0.98883,0.78571,0.80924,0.52028,0.89464,0.64286,0.67905,0.47102,1.52522,3.31672,0.27165,0.8934,1.49131,0.0012278,0.0012278,0.0012278
41,596.689,1.03901,2.51641,0.30013,0.71909,1.26786,0.98649,0.78571,0.82647,0.52683,0.92752,0.64286,0.68714,0.50799,1.53574,3.27589,0.25935,0.96847,1.53425,0.001208,0.001208,0.001208
42,611.816,0.94556,2.21145,0.28882,0.61512,1.20746,0.98888,0.78571,0.83271,0.55659,0.92504,0.64286,0.68953,0.50355,1.48028,3.24879,0.24925,0.91961,1.5425,0.0011882,0.0011882,0.0011882
43,625.597,0.96987,2.68081,0.28607,0.70412,1.25799,0.98588,0.78571,0.8483,0.54025,0.9257,0.64286,0.70032,0.53152,1.63601,3.13265,0.24237,0.92976,1.63013,0.0011684,0.0011684,0.0011684
44,639.441,1.00484,2.13796,0.2861,0.68363,1.29123,0.92232,0.84875,0.86578,0.53927,0.90834,0.64286,0.70819,0.48488,1.60423,3.03487,0.24233,0.86955,1.58769,0.0011486,0.0011486,0.0011486
45,654.308,0.96206,2.2049,0.26194,0.66836,1.19857,0.98949,0.78571,0.86332,0.56361,0.94896,0.64286,0.70232,0.56611,1.46256,2.85288,0.24094,0.75954,1.44777,0.0011288,0.0011288,0.0011288
46,668.032,0.96563,2.05101,0.24464,0.65491,1.23583,0.98949,0.78571,0.86332,0.56361,0.94896,0.64286,0.70232,0.56611,1.46256,2.85288,0.24094,0.75954,1.44777,0.001109,0.001109,0.001109
47,681.688,1.0015,2.21097,0.2307,0.68491,1.26382,0.9898,0.78571,0.86606,0.59027,0.96076,0.64286,0.70193,0.66343,1.45977,2.77775,0.24099,0.72893,1.45013,0.0010892,0.0010892,0.0010892
48,695.388,0.96456,2.26548,0.23142,0.64636,1.27233,0.99018,0.78571,0.85529,0.57779,0.96529,0.64286,0.69607,0.58781,1.51756,2.78075,0.23813,0.76643,1.47184,0.0010694,0.0010694,0.0010694
49,709.026,1.04045,2.13813,0.25531,0.69788,1.1727,0.99007,0.78571,0.85174,0.5539,0.96378,0.64286,0.69358,0.59369,1.59129,2.78665,0.23622,0.81309,1.49781,0.0010496,0.0010496,0.0010496
50,722.64,1.05564,2.50867,0.26944,0.6999,1.25757,0.98813,0.78571,0.84687,0.5576,0.96869,0.64286,0.69437,0.59595,1.5448,2.76923,0.23205,0.7815,1.46777,0.0010298,0.0010298,0.0010298
51,736.268,0.91794,2.0064,0.2774,0.63166,1.22486,0.98659,0.78571,0.85486,0.59408,0.94926,0.64286,0.70042,0.58934,1.39285,2.76944,0.22303,0.7915,1.3842,0.00101,0.00101,0.00101
52,749.908,0.964,2.05602,0.24654,0.59231,1.1845,0.98439,0.78571,0.85864,0.62652,0.93039,0.64286,0.70465,0.61782,1.29805,2.74708,0.21243,0.80767,1.3445,0.0009902,0.0009902,0.0009902
53,763.479,0.97848,2.48933,0.25455,0.6869,1.19631,1,0.8487,0.86282,0.61972,0.83192,0.70761,0.70876,0.62858,1.29866,2.72059,0.20348,0.85193,1.34676,0.0009704,0.0009704,0.0009704
54,777.02,0.94873,1.94778,0.24633,0.65069,1.22258,1,0.8487,0.86282,0.61972,0.83192,0.70761,0.70876,0.62858,1.29866,2.72059,0.20348,0.85193,1.34676,0.0009506,0.0009506,0.0009506
55,790.575,0.981,2.30083,0.2484,0.67606,1.30987,1,0.85227,0.86226,0.5572,0.83287,0.71211,0.70839,0.61135,1.50162,2.67477,0.20259,0.84201,1.4799,0.0009308,0.0009308,0.0009308
56,804.143,0.83348,2.10684,0.21728,0.576,1.12825,0.9989,0.85714,0.86941,0.49061,0.82958,0.71429,0.70971,0.59911,1.77542,2.73026,0.20011,0.88604,1.69778,0.000911,0.000911,0.000911
57,817.762,0.9392,1.72564,0.21668,0.59913,1.21722,1,0.85712,0.8719,0.47528,0.83092,0.71429,0.70965,0.55791,1.85473,2.77635,0.19798,0.82745,1.81032,0.0008912,0.0008912,0.0008912
58,831.407,0.87825,2.03871,0.21712,0.59218,1.16687,1,0.85495,0.88149,0.50298,0.83324,0.71382,0.70906,0.54209,1.74499,2.77138,0.19612,0.7236,1.69936,0.0008714,0.0008714,0.0008714
59,845.021,0.93967,2.23626,0.27896,0.62229,1.18405,1,0.84695,0.88969,0.53114,1,0.84695,0.86088,0.57594,1.64184,2.57672,0.19528,0.69305,1.58219,0.0008516,0.0008516,0.0008516
60,858.664,0.94039,1.89858,0.21058,0.59721,1.20422,0.98169,0.78571,0.90318,0.54036,0.98169,0.78571,0.85269,0.64311,1.57658,2.56223,0.1954,0.6468,1.50128,0.0008318,0.0008318,0.0008318
61,872.254,0.8836,1.76716,0.20878,0.62265,1.20061,0.9776,0.78571,0.92267,0.54436,0.9776,0.78571,0.84362,0.62735,1.58472,2.58891,0.19657,0.67217,1.49503,0.000812,0.000812,0.000812
62,885.751,0.8244,1.96372,0.23749,0.62161,1.20749,0.9776,0.78571,0.92267,0.54436,0.9776,0.78571,0.84362,0.62735,1.58472,2.58891,0.19657,0.67217,1.49503,0.0007922,0.0007922,0.0007922
63,899.654,0.88485,2.24786,0.26507,0.66999,1.11787,0.97604,0.78571,0.94066,0.50973,0.97604,0.78571,0.84045,0.63135,1.67462,2.45021,0.19225,0.72082,1.55659,0.0007724,0.0007724,0.0007724
64,914.629,0.79238,1.73598,0.21681,0.59762,0.99946,0.97548,0.78571,0.91141,0.5237,0.97548,0.78571,0.79522,0.63299,1.68723,2.51095,0.1916,0.74293,1.57178,0.0007526,0.0007526,0.0007526
65,929.656,0.96063,2.08039,0.23703,0.66717,1.25592,0.97404,0.78571,0.94542,0.55584,0.97404,0.78571,0.85007,0.63245,1.68352,2.47116,0.18934,0.78187,1.59014,0.0007328,0.0007328,0.0007328
66,944.693,0.88637,2.04114,0.22529,0.57336,1.15012,0.9731,0.78571,0.91295,0.5293,0.9731,0.78571,0.8508,0.65549,1.65256,2.46485,0.18909,0.78709,1.58563,0.000713,0.000713,0.000713
67,959.954,1.09763,2.06587,0.25811,0.72617,1.2692,0.97202,0.78571,0.91917,0.56358,0.97202,0.78571,0.85025,0.6592,1.61352,2.34965,0.18426,0.79423,1.56544,0.0006932,0.0006932,0.0006932
