epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9225,1.49453,7.41699,0.59987,1.7528,1.45753,0.72587,0.54795,0.58745,0.24693,0.20484,0.05479,0.04398,0.00447,2.50224,7.50196,0.36743,2.40593,2.2843,0.08218,0.00018,0.00018
2,198.88,1.45548,6.35336,0.56008,1.15987,1.40991,0.84739,0.6846,0.79209,0.43073,0.56468,0.31507,0.27913,0.07053,1.73405,6.63817,0.34829,2.72386,1.54864,0.0633663,0.000366337,0.000366337
3,297.923,1.4166,5.55946,0.56046,1.06404,1.34813,0.90196,0.75619,0.82329,0.54681,0.64369,0.53425,0.48225,0.14215,1.43854,5.9879,0.36177,2.40299,1.403,0.0445489,0.000548912,0.000548912
4,404.668,1.28157,4.91693,0.54492,1.17939,1.24701,0.9109,0.78082,0.87068,0.52442,0.61507,0.42466,0.30319,0.05411,1.51862,5.73048,0.35749,1.72757,1.52148,0.0257277,0.000727725,0.000727725
5,504.641,1.2589,4.70755,0.52878,1.01232,1.29788,0.98262,0.77466,0.85051,0.55319,0.86315,0.63014,0.64848,0.25697,1.48157,4.93772,0.36453,1.29416,1.51566,0.00690278,0.000902776,0.000902776
6,603.981,1.34515,4.42456,0.53468,0.9904,1.32098,0.94386,0.69093,0.80861,0.51702,0.85331,0.60274,0.62886,0.20339,1.53479,4.56231,0.35284,1.42121,1.51566,0.0009505,0.0009505,0.0009505
7,698.913,1.38135,4.56251,0.56886,0.98897,1.33234,0.95575,0.83562,0.90704,0.59011,0.90704,0.67123,0.69679,0.30003,1.57882,4.57201,0.33644,0.95561,1.52375,0.0009406,0.0009406,0.0009406
8,790.49,1.35524,4.15603,0.56482,0.95938,1.32582,0.97764,0.83562,0.89598,0.61387,0.88484,0.75342,0.76236,0.30713,1.38692,4.31078,0.33737,0.8065,1.42868,0.0009307,0.0009307,0.0009307
9,881.211,1.33471,4.31915,0.56455,1.00423,1.33265,0.91356,0.87671,0.90473,0.59814,0.88408,0.75342,0.75471,0.36962,1.28991,4.00585,0.34095,0.83797,1.3494,0.0009208,0.0009208,0.0009208
10,973.564,1.36925,3.95352,0.57213,1.00811,1.34517,0.89022,0.88871,0.92041,0.53693,0.86969,0.73148,0.72284,0.35595,1.37955,3.74773,0.32962,1.01555,1.3854,0.0009109,0.0009109,0.0009109
